id,id,kendalls_tau,spearman,zero_one_accuracy,object_detector,feature_transformer,feature_transformer_params,object_ranker
405,1773,0.3102951,0.3408911,0.33333334,mask-rcnn,autoencoder-conv,"use_masks=true,n_latent_features=4096,reduced_size=192",torch-feta-ranker
405,1749,0.43434274,0.47701716,0.38492063,mask-rcnn,autoencoder-conv,"use_masks=true,n_latent_features=4096,reduced_size=192",torch-feta-ranker
405,1575,0.29954156,0.33494437,0.30853173,mask-rcnn,autoencoder-conv,"use_masks=true,n_latent_features=4096,reduced_size=192",torch-feta-ranker
405,1574,0.49939102,0.5450779,0.41666666,mask-rcnn,autoencoder-conv,"use_masks=true,n_latent_features=4096,reduced_size=192",torch-feta-ranker
405,1573,0.46952042,0.51268137,0.39880952,mask-rcnn,autoencoder-conv,"use_masks=true,n_latent_features=4096,reduced_size=192",torch-feta-ranker
404,1747,0.7872629,0.8378442,0.5486111,mask-rcnn,resnet,"use_masks=true,reduced_size=256",torch-fate-ranker
404,1746,0.7661394,0.8130598,0.5406746,mask-rcnn,resnet,"use_masks=true,reduced_size=256",torch-fate-ranker
404,1519,0.77936006,0.8241173,0.5575397,mask-rcnn,resnet,"use_masks=true,reduced_size=256",torch-fate-ranker
404,1518,0.78907067,0.83386564,0.5625,mask-rcnn,resnet,"use_masks=true,reduced_size=256",torch-fate-ranker
404,1517,0.7274397,0.7785318,0.53373015,mask-rcnn,resnet,"use_masks=true,reduced_size=256",torch-fate-ranker
403,1745,0.77431947,0.82047856,0.5605159,mask-rcnn,alexnet,"use_masks=true,reduced_size=256",torch-fate-ranker
403,1744,0.7337928,0.78218085,0.5347222,mask-rcnn,alexnet,"use_masks=true,reduced_size=256",torch-fate-ranker
403,1516,0.7513302,0.79444444,0.5694444,mask-rcnn,alexnet,"use_masks=true,reduced_size=256",torch-fate-ranker
403,1515,0.76214665,0.81097347,0.55456346,mask-rcnn,alexnet,"use_masks=true,reduced_size=256",torch-fate-ranker
403,1498,0.7647243,0.8082404,0.5734127,mask-rcnn,alexnet,"use_masks=true,reduced_size=256",torch-fate-ranker
402,1743,0.3223596,0.35882035,0.32242063,mask-rcnn,raw,"use_masks=true,reduced_size=64",torch-fate-ranker
402,1742,0.38698944,0.4198791,0.3690476,mask-rcnn,raw,"use_masks=true,reduced_size=64",torch-fate-ranker
402,1514,0.3606995,0.4023688,0.34126985,mask-rcnn,raw,"use_masks=true,reduced_size=64",torch-fate-ranker
402,1513,0.39747474,0.43606612,0.37400794,mask-rcnn,raw,"use_masks=true,reduced_size=64",torch-fate-ranker
402,1512,0.46300083,0.50795054,0.39186507,mask-rcnn,raw,"use_masks=true,reduced_size=64",torch-fate-ranker
401,1741,0.41816962,0.46080095,0.36805555,mask-rcnn,autoencoder-conv,"use_masks=true,n_latent_features=4096,reduced_size=192",torch-fate-ranker
401,1740,0.43499038,0.4768716,0.38988096,mask-rcnn,autoencoder-conv,"use_masks=true,n_latent_features=4096,reduced_size=192",torch-fate-ranker
401,1739,0.41355664,0.45781454,0.36507937,mask-rcnn,autoencoder-conv,"use_masks=true,n_latent_features=4096,reduced_size=192",torch-fate-ranker
401,1572,0.43258023,0.4817508,0.36309522,mask-rcnn,autoencoder-conv,"use_masks=true,n_latent_features=4096,reduced_size=192",torch-fate-ranker
401,1571,0.4589463,0.5101653,0.37896827,mask-rcnn,autoencoder-conv,"use_masks=true,n_latent_features=4096,reduced_size=192",torch-fate-ranker
